months_as_customer,age,policy_number,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,postcode.2,region.1,total_crimes_nearby.1,vehicle_crimes_nearby.1,rainfall_mm.1,max_windspeed_kmh.1,max_temp_c.1,postcode,region,claim_date,total_crimes_nearby,vehicle_crimes_nearby,rainfall_mm,max_windspeed_kmh,max_temp_c
328,48,521585,2014-10-17,250/500,1000,1406.91,0,MALE,MD,craft-repair,sleeping,husband,53300,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,2004,Y,BN1 1AA,South East,,,2.5,21.5,5.6,DE56 2JB,East Midlands,2023-01-25,,,0.4,22.1,8.3
228,42,342868,2006-06-27,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,other-relative,0,0,2015-01-21,Vehicle Theft,?,Minor Damage,Police,8,1,?,0,0,?,5070,780,780,3510,Mercedes,E400,2007,Y,NG1 1AA,East Midlands,,,0.0,10.9,3.4,KY15 7BA,,2024-01-21,0.0,0.0,18.0,44.0,10.9
134,29,687698,2000-09-06,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007,N,BN1 1AA,South East,,,1.7,13.7,8.8,DT2 0GA,South West,2024-02-22,0.0,0.0,11.7,32.3,9.5
256,41,227811,1990-05-25,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,?,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y,,,,,,,,LU2 7LL,East of England,2024-01-10,850.0,62.0,0.0,21.4,3.8
228,44,367455,2014-06-06,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,66000,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N,,,,,,,,TA6 4ET,South West,2023-02-17,,,0.0,27.4,14.1
256,39,104594,2006-10-12,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003,Y,,,,,,,,LS14 3HF,Yorkshire and The Humber,2024-01-02,23.0,0.0,16.3,30.6,9.4
137,34,413978,2000-06-04,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,?,0,0,?,78650,21450,7150,50050,Nissan,Pathfinder,2012,N,,,,,,,,M24 2GB,North West,2023-01-13,,,3.0,37.1,7.4
165,37,429027,1990-02-03,100/300,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,?,2,2,YES,51590,9380,9380,32830,Audi,A5,2015,N,,,,,,,,TA6 4ET,South West,2023-02-27,,,0.1,20.3,7.9
27,33,485665,1997-02-05,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N,,,,,,,,G11 5HD,,2023-01-30,,,0.4,31.7,7.9
212,42,636550,2011-07-25,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,camping,wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,?,42300,4700,4700,32900,Saab,92x,1996,N,,,,,,,,DE56 2JB,East Midlands,2023-01-05,,,0.6,32.6,11.1
235,42,543610,2002-05-26,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,YES,2,2,?,87010,7910,15820,63280,Ford,F150,2002,N,,,,,,,,TA6 4ET,South West,2024-01-06,154.0,5.0,0.0,14.3,7.6
447,61,214618,1999-05-29,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,N,,,,,,,,LA14 5DF,North West,2024-02-15,334.0,4.0,11.3,27.4,10.9
60,23,842643,1997-11-20,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000,N,,,,,,,,G11 5HD,,2023-01-22,,,2.8,19.1,7.9
121,34,626808,2012-10-26,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,2015-01-08,Parked Car,?,Minor Damage,,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N,,,,,,,,G61 3LF,,2023-01-08,,,5.4,26.9,6.8
180,38,644081,1998-12-28,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y,,,,,,,,TW3 1GN,London,2024-01-15,688.0,43.0,0.0,17.3,2.4
473,58,892874,1992-10-19,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y,,,,,,,,NG34 8NE,East Midlands,2024-01-29,2.0,0.0,1.4,23.4,12.6
70,26,558938,2005-06-08,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,?,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,,,,,,,,NG34 8NE,East Midlands,2024-02-22,6.0,0.0,8.3,28.2,9.8
140,31,275265,2004-11-15,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N,CF10 1AA,,,,9.1,29.3,11.8,NG34 8NE,East Midlands,2024-01-06,2.0,0.0,0.1,14.0,5.5
160,37,921202,2014-12-28,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N,,,,,,,,ML9 2SA,,2023-01-19,,,0.1,22.7,3.6
196,39,143972,1992-08-02,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N,,,,,,,,KY15 7BA,,2023-02-22,,,7.0,21.1,8.7
460,62,183430,2002-06-25,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011,N,BN1 1AA,South East,1309.0,46.0,11.1,42.1,11.0,DE56 2JB,East Midlands,2023-01-01,,,0.9,29.8,9.3
217,41,431876,2005-11-27,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,?,1,2,?,37840,0,4730,33110,Accura,RSX,1996,N,CF10 1AA,,,,0.2,18.0,8.8,M24 2GB,North West,2024-02-10,0.0,0.0,0.0,10.7,8.3
